record_id|fiscal_year|category|line_item|budget_amount_zmw|budget_year_label|source_document|source_page
KIT2-BE-2022-136|2022|Expenditure|Constituency Development|128500000.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-137|2022|Expenditure|Community Based Projects|77100000.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-138|2022|Expenditure|Youth Empowerment|12850000.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-139|2022|Expenditure|Women Empowerment|12850000.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-140|2022|Expenditure|Secondary School Boarding and Skills Development Bursaries|25700000.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-141|2022|Expenditure|Local Governance|4022706.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-142|2022|Expenditure|Local elections|48533.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-143|2022|Expenditure|Legislative Function|3967243.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-144|2022|Expenditure|Citizen Engagement|6930.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-145|2022|Expenditure|Integrated Development Planning|21025994.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-146|2022|Expenditure|Environmental planning|915026.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-147|2022|Expenditure|Spatial Planning|1438256.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-148|2022|Expenditure|Socio Economic planning|18672712.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-149|2022|Expenditure|Public health and Environmental protection|25080477.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-150|2022|Expenditure|Cemetery and funeral services|1492792.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-151|2022|Expenditure|Health Inspections|9538267.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-152|2022|Expenditure|Pest control|1724533.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-153|2022|Expenditure|Pollution control|559020.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-154|2022|Expenditure|Solid Waste Management|11357880.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-155|2022|Expenditure|Water supply and Sanitation Services|407985.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-156|2022|Expenditure|Housing and Community Amenities|37789409.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-157|2022|Expenditure|Parks and Gardens|4244508.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-158|2022|Expenditure|Markets and Bus Stations|5050456.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-159|2022|Expenditure|Community Centres|10306810.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-160|2022|Expenditure|Public Housing|1486882.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-161|2022|Expenditure|Roads and Drainages|14713409.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-162|2022|Expenditure|Street Lighting|1987344.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-163|2022|Expenditure|Recreation Culture and Religion|5615223.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-164|2022|Expenditure|Registration of Marriages|106739.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-165|2022|Expenditure|Library Services|2210826.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-166|2022|Expenditure|Sports Promotion|3297658.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-167|2022|Expenditure|Education and skills development|1020539.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-168|2022|Expenditure|Early Childhood Education|303321.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-169|2022|Expenditure|Adult Literacy|717218.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-170|2022|Expenditure|Public order and safety|16826367.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BE-2022-171|2022|Expenditure|Building regulation|1564053.0|2022 Approved Budget|Budget-Estimates-2023.pdf|
