record_id|fiscal_year|category|line_item|budget_amount_zmw|budget_year_label|source_document|source_page
KIT2-BR-2023-089|2023|Revenue|Local taxes/rates - Residential|6940151.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-090|2023|Revenue|Industrial/Commercial|23729094.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-091|2023|Revenue|Mining/Plant|64402980.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-092|2023|Revenue|Personal levy|150000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-093|2023|Revenue|Fees and Charges - Consent fees|100000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-094|2023|Revenue|Survey fees|816000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-095|2023|Revenue|Building inspection-fees|986000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-096|2023|Revenue|Plan scrutiny fee|1545000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-097|2023|Revenue|Change of premise use|155000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-098|2023|Revenue|Container/Ntemba fees|696000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-099|2023|Revenue|Rentals/lease of Council's properties|1700000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-100|2023|Revenue|Application forms fees|335740.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-101|2023|Revenue|Rentals from houses|153000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-102|2023|Revenue|Sketch plan|9900.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-103|2023|Revenue|Search fees|94800.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-104|2023|Revenue|Market fees|5713548.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-105|2023|Revenue|Parking fees|896440.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-106|2023|Revenue|Bus station fees|5218495.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-107|2023|Revenue|Hire of halls|66600.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-108|2023|Revenue|Grave reservation|4537235.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-109|2023|Revenue|Course fees|1384503.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-110|2023|Revenue|Refuse disposal|1143400.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-111|2023|Revenue|Library membership fees|43416.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-112|2023|Revenue|Notice of marriage fees|873000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-113|2023|Revenue|Vendor Fees|105000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-114|2023|Revenue|Communication mast levy|400000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-115|2023|Revenue|Illegal Parking of vehicles|144000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-116|2023|Revenue|Repairs of cars/garage/car wash levies|115000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-117|2023|Revenue|Billboards and banners|2547800.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-118|2023|Revenue|Penalties|261000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-119|2023|Revenue|Medical fees|120000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-120|2023|Revenue|Other fees and charges|5934152.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-121|2023|Revenue|Licenses - Liquor licence|259200.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-122|2023|Revenue|Firearm and ammunition licence|90000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-123|2023|Revenue|Occupancy licence|259200.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-124|2023|Revenue|Other licences|200000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-125|2023|Revenue|Levies - Pole levy|10000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-126|2023|Revenue|Quarry levy|10000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-127|2023|Revenue|Business Levy|5777006.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-128|2023|Revenue|Permits - Health permits|4826500.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-129|2023|Revenue|Fire certificate|4159750.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-130|2023|Revenue|Extension of business hours permits|54000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-131|2023|Revenue|Other permits|2100000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-132|2023|Revenue|Charges - Service Charges – Residential plots|6875000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-133|2023|Revenue|Lease Charges|45000.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-134|2023|Revenue|National Support (Grants) - Special Grants|28283035.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2023-135|2023|Revenue|Local Development Fund - Constituency Development Fund|141569510.0|2023 Approved Budget|Budget-Estimates-2023.pdf|
KIT2-BR-2026-185|2026|Revenue|Occupancy licence|750000.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-186|2026|Revenue|Liquor licence|329600.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-187|2026|Revenue|Firearm and ammunition licence|105000.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-188|2026|Revenue|Petroleum Storage licence|646200.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-189|2026|Revenue|Dog licence|30500.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-190|2026|Revenue|Other Licences|166665.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-191|2026|Revenue|Livestock Movement levy|542442.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-192|2026|Revenue|Pole levy|6600.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-193|2026|Revenue|Charcoal levy|90000.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-194|2026|Revenue|Quarry levy|10000.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-195|2026|Revenue|Telecommunication Mast|518000.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-196|2026|Revenue|Trading (Wholesale) Business Levy|339996.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-197|2026|Revenue|Trading (Retail) Consumable groceries business|6722300.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
KIT2-BR-2026-198|2026|Revenue|Retail Merchants non- consumable business|444448.0|2026 Approved Budget|2026-budget-Kitwe-City-Council-amended-Final.pdf|
