record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT-CDF-2026-001|2026|Jan-26|Completion Works|Completion of wall fence at Kamatipa Combined School||||Contract signed 19 Jan 2026; Chimwemwe Constituency|KCC CDF Signing Jan 2026|Kamatipa Combined School
KIT-CDF-2026-002|2026|Jan-26|Sanitation|Construction of ablution block in Kawama||||Contract signed 19 Jan 2026; Chimwemwe Constituency|KCC CDF Signing Jan 2026|Kawama
KIT-CDF-2026-003|2026|Jan-26|Security|Construction of police post in Chimwemwe East||||Contract signed 19 Jan 2026; Chimwemwe Constituency|KCC CDF Signing Jan 2026|Chimwemwe East
KIT-CDF-2026-004|2026|Jan-26|Markets|Construction of Chamboli Market shelters tables and boundary wall||||Contract signed 19 Jan 2026; Wusakile Constituency|KCC CDF Signing Jan 2026|Construction of Chamboli Market shelters tables and boundary wall
KIT-CDF-2026-005|2026|Jan-26|Street Lighting|Installation of 28 solar street lights (Nationalist) and 17 (Kalemba Drive Parklands Ward)||||Contract signed 19 Jan 2026; Nkana Constituency|KCC CDF Signing Jan 2026|Installation of 28 solar street lights (Nationalist) and 17 (Kalemba Drive Parklands Ward)
KIT-CDF-2026-006|2026|Jan-26|Street Lighting|Installation of 14 solar street lights in Richmond area||||Contract signed 19 Jan 2026; Nkana Constituency|KCC CDF Signing Jan 2026|Richmond
KIT-CDF-2026-007|2026|Jan-26|Infrastructure|Construction of bridge connecting Mukuba University and Zambia Compound||||Contract signed 19 Jan 2026; Chimwemwe Constituency|KCC CDF Signing Jan 2026|Construction of bridge connecting Mukuba University and Zambia Compound
KIT-CDF-2026-008|2026|Jan-26|Sanitation|Construction of Sopelo Market ablution block||||Contract signed 19 Jan 2026; Chimwemwe Constituency|KCC CDF Signing Jan 2026|Construction of Sopelo Market ablution block
KIT-CDF-2026-009|2026|Jan-26|Street Lighting|Installation of 32 solar street lights from Petroda via Buchi Hall to Joseph Musonda Stadium and ZESCO Pylon||||Contract signed 19 Jan 2026; Nkana Constituency|KCC CDF Signing Jan 2026|Installation of 32 solar street lights from Petroda via Buchi Hall to Joseph Musonda Stadium and ZESCO Pylon
KIT-CDF-2026-010|2026|Jan-26|Sanitation|Construction of ablution block in Chimwemwe Constituency||||Contract signed 19 Jan 2026|KCC CDF Signing Jan 2026|Chimwemwe Constituency
