record_id|fiscal_year|category|line_item|actual_zmw|description|source_document
KIT-DEBT-2025-001|2025|PE's|PE's|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-002|2025|ZAMTEL|ZAMTEL|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-003|2025|ZESCO|ZESCO|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-004|2025|Water|Water|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-005|2025|Legal Costs|Legal Costs|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-006|2025|NAPSA Arrears|NAPSA Arrears|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-007|2025|NAPSA Arrears - Penalties|NAPSA Arrears - Penalties|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-008|2025|LASF Arrears|LASF Arrears|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-009|2025|LASF Arrears - Penalties|LASF Arrears - Penalties|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-010|2025|Other Pension Arrears|Other Pension Arrears|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-011|2025|Other Pension Arrears - Penalties|Other Pension Arrears - Penalties|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-012|2025|ZRA PAYE|ZRA PAYE|||Budget-Performance-Report-116-LAs.pdf
KIT-DEBT-2025-013|2025|ZRA - Penalties|ZRA - Penalties|||Budget-Performance-Report-116-LAs.pdf
