"record_id"|"record_type"|"fiscal_year"|"period"|"category"|"line_item"|"actual_zmw"|"description"|"source_document"|"source_table"|"source_page"|"stakeholders"
"KIT-EXP-2023-004"|"expenditure_line_annual"|"2023"|"FY2023"|"Personal Emoluments"|"Personal Emoluments"|""|"Empty duplicate row (all financial values NaN)"|"Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf"|""|""|"Kitwe City Council"
"KIT-REV-2025-Q2-001"|"revenue"|"2025"|"Q1-Q2"|"National Support"|"Local Government Equalisation Fund"|"46365890.38"|"Overlapping revenue line item with File 2 (same name but from audited actuals source vs budget estimates source)"|"Budget-Performance-Report-116-LAs.pdf"|"Table 13"|"25"|"Government of Zambia (Ministry of Finance / LGEF / CDF transfers)"
"KIT-REV-2025-Q2-005"|"revenue"|"2025"|"Q1-Q2"|"National Support"|"Constituency Development Fund"|"316107891.6"|"Overlapping revenue line item with File 2 (same name but from audited actuals source vs budget estimates source)"|"Budget-Performance-Report-116-LAs.pdf"|"Table 13"|"26"|"Government of Zambia (Ministry of Finance / LGEF / CDF transfers)"
"KIT-REV-2025-Q2-006"|"revenue"|"2025"|"Q1-Q2"|"National Support"|"Other Grants"|"77201337.0"|"Overlapping revenue line item with File 2 (same name but from audited actuals source vs budget estimates source)"|"Budget-Performance-Report-116-LAs.pdf"|"Table 13"|"26"|"Government of Zambia (Ministry of Finance / LGEF / CDF transfers)"
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Overlapping revenue line item with File 1 (same name but from budget estimates source vs audited actuals source)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (original - first occurrence)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
""|""|""|""|""|""|""|"Within-file duplicate in File 2 (identical source, subject, and seconder)"|""|""|""|""
