record_id|record_type|fiscal_year|period|category|line_item|actual_zmw|description|source_document|source_table|source_page|stakeholders|proposer_name|seconder_name|funding_source|budget_amount_zmw|approved|budget_year_label
KIT-AFS-2018-001|annual_financial_statement|2018|FY2018|Receipts|Total Cash Receipts|121715673.0|Cash receipts for FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2018-002|annual_financial_statement|2018|FY2018|Payments|Total Payments|115932159.0|Total payments for FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2018-003|annual_financial_statement|2018|FY2018|Net|Increase/(Decrease) in Cash|5783514.0|Net cash movement FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2019-001|annual_financial_statement|2019|FY2019|Receipts|Total Cash Receipts|135415812.0|Cash receipts for FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2019-002|annual_financial_statement|2019|FY2019|Payments|Total Payments|129989709.0|Total payments for FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2019-003|annual_financial_statement|2019|FY2019|Net|Increase/(Decrease) in Cash|5426103.0|Net cash movement FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0|Kitwe City Council||||||
KIT-AFS-2020-001|annual_financial_statement|2020|FY2020|Receipts|Total Cash Receipts|133288662.0|Cash receipts for FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
KIT-AFS-2020-002|annual_financial_statement|2020|FY2020|Payments|Total Payments|123667113.0|Total payments for FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
KIT-AFS-2020-003|annual_financial_statement|2020|FY2020|Net|Increase/(Decrease) in Cash|9621549.0|Net cash movement FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
KIT-AFS-2021-001|annual_financial_statement|2021|FY2021|Receipts|Total Cash Receipts|158232505.0|Cash receipts for FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
KIT-AFS-2021-002|annual_financial_statement|2021|FY2021|Payments|Total Payments|150048049.0|Total payments for FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
KIT-AFS-2021-003|annual_financial_statement|2021|FY2021|Net|Increase/(Decrease) in Cash|8184457.0|Net cash movement FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0|Kitwe City Council||||||
